,source,year,birth_place,population,population_percent
0,prison,1878,Albania,0.0,0.0
1,prison,1878,Africa,0.0,0.0
2,prison,1878,Alsace,0.0,0.0
3,prison,1878,Argentine,0.0,0.0
4,prison,1878,Assyria,0.0,0.0
5,prison,1878,Australia,0.0,0.0
6,prison,1878,Austria,1.0,0.006896551724137931
7,prison,1878,Belgium,0.0,0.0
8,prison,1878,Bermuda Islands,0.0,0.0
9,prison,1878,Bohemia,0.0,0.0
10,prison,1878,Brazil,0.0,0.0
11,prison,1878,British Columbia,0.0,0.0
12,prison,1878,British West Indies,0.0,0.0
13,prison,1878,Bulgaria,0.0,0.0
14,prison,1878,Canada,9.0,0.06206896551724138
15,prison,1878,Cape Good Hope,0.0,0.0
16,prison,1878,Central America,0.0,0.0
17,prison,1878,Czecho-Slovakia,0.0,0.0
18,prison,1878,China,0.0,0.0
19,prison,1878,Costa Rica,0.0,0.0
20,prison,1878,Crete,0.0,0.0
21,prison,1878,Croatia,0.0,0.0
22,prison,1878,Cuba,0.0,0.0
23,prison,1878,Denmark,0.0,0.0
24,prison,1878,East Indies,0.0,0.0
25,prison,1878,England,7.0,0.04827586206896552
26,prison,1878,Egypt,0.0,0.0
27,prison,1878,Findland,0.0,0.0
28,prison,1878,France,4.0,0.027586206896551724
29,prison,1878,Germany,4.0,0.027586206896551724
30,prison,1878,Greece,0.0,0.0
31,prison,1878,Holland,0.0,0.0
32,prison,1878,Hungary,0.0,0.0
33,prison,1878,India,0.0,0.0
34,prison,1878,Ireland,12.0,0.08275862068965517
35,prison,1878,Italy,7.0,0.04827586206896552
36,prison,1878,Isle of Man,1.0,0.006896551724137931
37,prison,1878,Jamaica,0.0,0.0
38,prison,1878,Japan,0.0,0.0
39,prison,1878,Java,0.0,0.0
40,prison,1878,Jugo-Slovakia (slavia),0.0,0.0
41,prison,1878,Korea,0.0,0.0
42,prison,1878,Lithuania,0.0,0.0
43,prison,1878,Mexico (old),1.0,0.006896551724137931
44,prison,1878,Montenegro,0.0,0.0
45,prison,1878,Netherlands,0.0,0.0
46,prison,1878,New Brunswick,0.0,0.0
47,prison,1878,New Foundland,0.0,0.0
48,prison,1878,New Zealand,0.0,0.0
49,prison,1878,Nicaragua,0.0,0.0
50,prison,1878,Norway,0.0,0.0
51,prison,1878,Nova Scotia,0.0,0.0
52,prison,1878,Ontario,0.0,0.0
53,prison,1878,Philippine Islands,0.0,0.0
54,prison,1878,Poland,0.0,0.0
55,prison,1878,Porto Rico,0.0,0.0
56,prison,1878,Portugal,0.0,0.0
57,prison,1878,Prince Edward Isle,0.0,0.0
58,prison,1878,Prussia,2.0,0.013793103448275862
59,prison,1878,Roumania,0.0,0.0
60,prison,1878,Russia,0.0,0.0
61,prison,1878,Saxony,1.0,0.006896551724137931
